"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ACUTAAS",17,2591.91,3316,44062.4,56372,12309.6,27.94,4.81,""
"ADANIPOWER",459,81.93,232.6,37606.6,106763.4,69156.8,183.9,1.12,""
"APARINDS",9,10919.56,13878,98276,124902,26626,27.09,1.23,""
"BSE",13,3962.64,3880,51514.3,50440,-1074.3,-2.09,-3.8,""
"DYCL",18,322.74,324.8,5809.25,5846.4,37.15,0.64,0.11,""
"ECLERX",11,1607.35,1382.1,17680.8,15203.1,-2477.7,-14.01,-1.83,""
"FIEMIND",3,2342.4,2304.15,7027.2,6912.45,-114.75,-1.63,-1.3,""
"INA",247,122.99,118,30378.96,29146,-1232.96,-4.06,-3.28,""
"KALYANKJIL",69,357.34,371.85,24656.15,25657.65,1001.5,4.06,2.69,""
"KPEL",81,362.72,347.15,29380.65,28119.15,-1261.5,-4.29,-0.98,""
"MCX",25,3013,2802.55,75325,70063.75,-5261.25,-6.98,-3.11,""
"NAM-INDIA",61,904.64,1113.1,55182.85,67899.1,12716.25,23.04,-1.42,""
"POLYCAB",7,7014.14,9699,49099,67893,18794,38.28,-0.19,""
"PRICOLLTD",87,557.57,561.35,48508.9,48837.45,328.55,0.68,-1.25,""
"WAAREERTL",56,960.18,970.25,53770.2,54334,563.8,1.05,-0.5,""
